subjectID,sessionID,sessionDate,sessionStart,sessionEnd,sessionDuration,phubbsWhileSession,phubbs
Mu06,,16/04/2024,11:50:48,12:20:43,0:29:55,6,"['0:00:12', '0:00:10', '0:00:13', '0:00:05', '0:00:33', '0:00:15']"
Mu06,,16/04/2024,15:19:06,15:26:10,0:07:04,0,[]
Mu06,,16/04/2024,15:29:23,17:00:42,1:31:19,1,['0:00:52']
Mu06,,16/04/2024,18:50:06,19:17:14,0:27:08,3,"['0:01:20', '0:01:44', '0:05:15']"
Mu06,,20/04/2024,17:59:44,18:55:44,0:56:00,4,"['0:00:05', '0:00:21', '0:00:42', '0:02:33']"
Mu06,,20/04/2024,19:03:56,19:11:50,0:07:54,0,[]
Mu06,,20/04/2024,19:16:16,20:24:32,1:08:16,2,"['0:00:23', '0:02:10']"
Mu06,,20/04/2024,20:52:02,21:04:29,0:12:27,0,[]
Mu06,,20/04/2024,21:08:15,21:14:18,0:06:03,0,[]
Mu06,,20/04/2024,21:19:56,21:29:28,0:09:32,0,[]
Mu06,,20/04/2024,21:37:35,21:45:34,0:07:59,0,[]
Mu06,,20/04/2024,21:49:38,21:51:51,0:02:13,0,[]
Mu06,,20/04/2024,21:57:06,22:23:07,0:26:01,0,[]
Mu06,,20/04/2024,22:32:14,22:58:38,0:26:24,0,[]
Mu06,,20/04/2024,23:01:50,23:59:19,0:57:29,1,['0:00:09']
Mu06,,21/04/2024,00:00:41,00:02:28,0:01:47,0,[]
SS83,,19/03/2024,16:01:48,16:56:31,0:54:43,5,"['0:03:45', '0:07:08', '0:10:42', '0:01:29', '0:00:19']"
SS83,,20/03/2024,13:32:48,13:34:10,0:01:22,0,[]
SS83,,21/03/2024,18:06:44,18:07:49,0:01:05,0,[]
SS83,,21/03/2024,23:51:33,00:15:06,0:23:33,0,[]
SS83,,22/03/2024,00:17:08,00:31:41,0:14:33,1,['0:08:47']
SS83,,23/03/2024,20:30:41,20:31:21,0:00:40,0,[]
SS83,,23/03/2024,21:07:42,21:19:16,0:11:34,0,[]
SS83,,24/03/2024,10:30:50,10:31:36,0:00:46,0,[]
Ss26,,19/03/2024,15:59:10,16:53:49,0:54:39,4,"['0:02:08', '0:00:11', '0:00:05', '0:13:49']"
Ss26,,20/03/2024,13:34:44,13:36:26,0:01:42,0,[]
Ss26,,21/03/2024,18:06:32,18:15:42,0:09:10,3,"['0:00:00', '0:02:40', '0:00:01']"
Ss26,,21/03/2024,23:52:21,00:00:57,0:08:36,0,[]
Ss26,,22/03/2024,00:02:01,00:22:08,0:20:07,2,"['0:00:05', '0:00:02']"
Ss26,,23/03/2024,21:09:37,21:11:24,0:01:47,0,[]
Ss26,,23/03/2024,21:18:23,21:21:45,0:03:22,0,[]
ej15,,15/04/2024,17:41:28,18:01:06,0:19:38,2,"['0:00:04', '0:00:02']"
ej15,,15/04/2024,18:06:15,19:37:45,1:31:30,3,"['0:00:04', '0:00:12', '0:00:06']"
ej15,,15/04/2024,20:06:06,20:14:34,0:08:28,0,[]
ej15,,15/04/2024,20:26:43,20:28:30,0:01:47,0,[]
ej15,,15/04/2024,21:23:18,21:42:26,0:19:08,2,"['0:00:07', '0:00:03']"
ej15,,15/04/2024,21:57:23,22:04:33,0:07:10,2,"['0:00:03', '0:00:03']"
ej15,,15/04/2024,22:18:17,22:46:13,0:27:56,2,"['0:00:02', '0:00:05']"
ej15,,16/04/2024,08:10:06,08:39:04,0:28:58,0,[]
ej15,,16/04/2024,09:19:41,09:27:38,0:07:57,0,[]
ej15,,16/04/2024,09:55:29,11:45:59,1:50:30,6,"['0:00:02', '0:00:18', '0:00:14', '0:00:04', '0:00:05', '0:00:02']"
ej15,,16/04/2024,11:49:04,12:43:50,0:54:46,1,['0:00:07']
ej15,,16/04/2024,13:02:21,16:34:45,3:32:24,4,"['0:00:09', '0:00:02', '0:00:04', '0:00:04']"
ej15,,16/04/2024,16:56:10,17:36:29,0:40:19,0,[]
ej15,,16/04/2024,20:13:14,21:42:20,1:29:06,3,"['0:00:03', '0:00:13', '0:00:02']"
ej15,,16/04/2024,21:59:02,22:33:03,0:34:01,0,[]
ej15,,17/04/2024,00:54:42,01:22:43,0:28:01,0,[]
ej15,,17/04/2024,01:27:01,01:35:20,0:08:19,0,[]
ej15,,17/04/2024,02:10:36,02:41:29,0:30:53,0,[]
ej15,,17/04/2024,02:54:45,03:40:33,0:45:48,0,[]
ej15,,17/04/2024,04:14:43,04:24:45,0:10:02,0,[]
ej15,,17/04/2024,04:34:00,04:54:43,0:20:43,0,[]
ej15,,17/04/2024,06:13:23,06:17:30,0:04:07,0,[]
ej15,,17/04/2024,07:00:01,07:32:37,0:32:36,0,[]
ej15,,17/04/2024,08:12:07,08:51:24,0:39:17,3,"['0:00:02', '0:00:03', '0:00:02']"
ej15,,17/04/2024,15:51:50,17:56:25,2:04:35,5,"['0:00:06', '0:00:02', '0:00:06', '0:00:14', '0:00:02']"
