dateEndOfInteraction,dateStartOfInteraction,endOfInteraction,startOfInteraction,subjectID,ID
04/04/2024,04/04/2024,15:21:34,14:33:59,MN03,
08/04/2024,08/04/2024,13:01:04,12:29:32,MV18,
08/04/2024,08/04/2024,13:16:28,13:06:04,MV18,
08/04/2024,08/04/2024,16:38:55,14:48:17,MV18,
08/04/2024,08/04/2024,17:33:11,16:43:44,MV18,
08/04/2024,08/04/2024,19:01:21,18:54:06,MV18,
08/04/2024,08/04/2024,20:09:07,19:04:34,MV18,
10/04/2024,10/04/2024,13:56:47,13:46:36,MV18,
10/04/2024,10/04/2024,18:47:30,18:38:08,MV18,
10/04/2024,10/04/2024,19:58:13,19:40:32,MV18,
10/04/2024,10/04/2024,20:47:03,20:37:44,MV18,
10/04/2024,10/04/2024,22:16:55,20:50:41,MV18,
10/04/2024,10/04/2024,22:29:02,22:27:56,MV18,
10/04/2024,10/04/2024,23:23:43,22:33:16,MV18,
10/04/2024,10/04/2024,23:28:18,23:27:30,MV18,
11/04/2024,11/04/2024,15:40:08,15:32:49,MV18,
16/04/2024,16/04/2024,10:34:18,10:28:14,MV18,
16/04/2024,16/04/2024,11:43:45,11:41:48,MV18,
16/04/2024,16/04/2024,12:20:11,11:51:15,MV18,
16/04/2024,16/04/2024,15:35:50,15:19:12,MV18,
16/04/2024,16/04/2024,17:00:46,15:38:58,MV18,
16/04/2024,16/04/2024,19:17:17,18:50:26,MV18,
20/04/2024,20/04/2024,19:02:39,17:59:59,MV18,
20/04/2024,20/04/2024,19:08:56,19:06:48,MV18,
20/04/2024,20/04/2024,20:16:42,19:15:35,MV18,
20/04/2024,20/04/2024,20:25:38,20:21:23,MV18,
20/04/2024,20/04/2024,20:49:17,20:41:40,MV18,
20/04/2024,20/04/2024,21:06:43,21:00:56,MV18,
20/04/2024,20/04/2024,21:13:53,21:09:51,MV18,
20/04/2024,20/04/2024,21:30:25,21:20:23,MV18,
20/04/2024,20/04/2024,21:45:19,21:36:59,MV18,
20/04/2024,20/04/2024,21:59:45,21:54:49,MV18,
20/04/2024,20/04/2024,22:25:46,22:06:35,MV18,
20/04/2024,20/04/2024,22:54:55,22:31:40,MV18,
20/04/2024,20/04/2024,23:18:33,23:07:09,MV18,
20/04/2024,20/04/2024,23:22:43,23:21:42,MV18,
20/04/2024,20/04/2024,23:52:35,23:27:19,MV18,
20/04/2024,20/04/2024,00:03:05,23:56:34,MV18,
08/04/2024,08/04/2024,13:15:50,12:29:39,Mu06,
08/04/2024,08/04/2024,16:37:51,14:46:26,Mu06,
08/04/2024,08/04/2024,17:33:55,16:41:03,Mu06,
08/04/2024,08/04/2024,18:59:56,18:49:07,Mu06,
08/04/2024,08/04/2024,19:52:29,19:04:34,Mu06,
08/04/2024,08/04/2024,20:02:28,19:56:36,Mu06,
10/04/2024,10/04/2024,13:56:23,13:46:49,Mu06,
10/04/2024,10/04/2024,18:47:01,18:38:26,Mu06,
10/04/2024,10/04/2024,19:57:19,19:39:38,Mu06,
10/04/2024,10/04/2024,20:24:08,20:24:01,Mu06,
10/04/2024,10/04/2024,21:36:50,20:35:06,Mu06,
10/04/2024,10/04/2024,22:15:41,21:40:39,Mu06,
10/04/2024,10/04/2024,22:27:54,22:19:08,Mu06,
10/04/2024,10/04/2024,23:28:24,22:33:43,Mu06,
11/04/2024,11/04/2024,15:40:56,15:32:53,Mu06,
16/04/2024,16/04/2024,10:33:28,10:27:58,Mu06,
16/04/2024,16/04/2024,11:44:19,11:38:24,Mu06,
16/04/2024,16/04/2024,12:20:43,11:50:48,Mu06,
16/04/2024,16/04/2024,15:26:10,15:19:06,Mu06,
16/04/2024,16/04/2024,17:00:42,15:29:23,Mu06,
16/04/2024,16/04/2024,19:17:14,18:50:06,Mu06,
20/04/2024,20/04/2024,18:55:44,17:59:44,Mu06,
20/04/2024,20/04/2024,19:11:50,19:03:56,Mu06,
20/04/2024,20/04/2024,20:24:32,19:16:16,Mu06,
20/04/2024,20/04/2024,21:04:29,20:52:02,Mu06,
20/04/2024,20/04/2024,21:14:18,21:08:15,Mu06,
20/04/2024,20/04/2024,21:29:28,21:19:56,Mu06,
20/04/2024,20/04/2024,21:45:34,21:37:35,Mu06,
20/04/2024,20/04/2024,21:51:51,21:49:38,Mu06,
20/04/2024,20/04/2024,22:23:07,21:57:06,Mu06,
20/04/2024,20/04/2024,22:58:38,22:32:14,Mu06,
20/04/2024,20/04/2024,23:59:19,23:01:50,Mu06,
21/04/2024,21/04/2024,00:02:28,00:00:41,Mu06,
19/03/2024,19/03/2024,16:56:31,16:01:48,SS83,
20/03/2024,20/03/2024,13:34:10,13:32:48,SS83,
21/03/2024,21/03/2024,18:07:49,18:06:44,SS83,
21/03/2024,21/03/2024,00:15:06,23:51:33,SS83,
22/03/2024,22/03/2024,00:31:41,00:17:08,SS83,
23/03/2024,23/03/2024,20:31:21,20:30:41,SS83,
23/03/2024,23/03/2024,21:19:16,21:07:42,SS83,
24/03/2024,24/03/2024,10:31:36,10:30:50,SS83,
19/03/2024,19/03/2024,16:53:49,15:59:10,Ss26,
20/03/2024,20/03/2024,13:36:26,13:34:44,Ss26,
21/03/2024,21/03/2024,18:15:42,18:06:32,Ss26,
21/03/2024,21/03/2024,00:00:57,23:52:21,Ss26,
22/03/2024,22/03/2024,00:22:08,00:02:01,Ss26,
23/03/2024,23/03/2024,21:11:24,21:09:37,Ss26,
23/03/2024,23/03/2024,21:21:45,21:18:23,Ss26,
15/04/2024,15/04/2024,18:01:06,17:41:28,ej15,
15/04/2024,15/04/2024,19:37:45,18:06:15,ej15,
15/04/2024,15/04/2024,20:14:34,20:06:06,ej15,
15/04/2024,15/04/2024,20:28:30,20:26:43,ej15,
15/04/2024,15/04/2024,21:42:26,21:23:18,ej15,
15/04/2024,15/04/2024,22:04:33,21:57:23,ej15,
15/04/2024,15/04/2024,22:46:13,22:18:17,ej15,
16/04/2024,16/04/2024,08:39:04,08:10:06,ej15,
16/04/2024,16/04/2024,09:27:38,09:19:41,ej15,
16/04/2024,16/04/2024,11:45:59,09:55:29,ej15,
16/04/2024,16/04/2024,12:43:50,11:49:04,ej15,
16/04/2024,16/04/2024,16:34:45,13:02:21,ej15,
16/04/2024,16/04/2024,17:36:29,16:56:10,ej15,
16/04/2024,16/04/2024,21:42:20,20:13:14,ej15,
16/04/2024,16/04/2024,22:33:03,21:59:02,ej15,
17/04/2024,17/04/2024,01:22:43,00:54:42,ej15,
